,Name,ID,State,Network,County,Elevation_feet,Latitude,Longitude
1820,Siler_City_Airport,SILR,NC,ECONET,Chatham,614,35.704,-79.504
1821,Spindale_Tower,SPIN,NC,ECONET,Rutherford,1078,35.335,-81.913
1822,Spruce_Pine_Tower,SPRU,NC,ECONET,Mitchell,2746,35.901,-82.059
1823,Taylorsville_Tower,TAYL,NC,ECONET,Alexander,1167,35.914,-81.191
1824,Williamsdale_Field_Lab,WILD,NC,ECONET,Duplin,56,34.766,-78.101
1825,Mountain_Research_Station,WAYN,NC,ECONET,Haywood,2755,35.488,-82.968
1826,Mt._Jefferson_Tower,JEFF,NC,ECONET,Ashe,4608,36.403,-81.463
1827,Border_Belt_Tobacco_Res_Stn,WHIT,NC,ECONET,Columbus,89,34.413,-78.792
1828,Highway_Patrol_Comm_Station,WILL,NC,ECONET,Martin,72,35.839,-77.093
1829,Sassafras_Mountain,SASS,NC,ECONET,Pickens,3525,35.065,-82.777
1830,Columbia,CMBA,KY,KentuckyMesonet,Adair,848,37.14,-85.29
1831,Scottsville,SCTV,KY,KentuckyMesonet,Allen,818,36.74,-86.22
1832,Glasgow,MROK,KY,KentuckyMesonet,Barren,696,37.01,-86.11
1833,Danville,DANV,KY,KentuckyMesonet,Boyle,981,37.62,-84.82
1834,Jackson,QKSD,KY,KentuckyMesonet,Breathitt,688,37.54,-83.34
1835,Morgantown,WDBY,KY,KentuckyMesonet,Butler,421,37.18,-86.65
1836,Princeton,PRNC,KY,KentuckyMesonet,Caldwell,509,37.1,-87.86
1837,Carrollton,CRRL,KY,KentuckyMesonet,Carroll,472,38.69,-85.14
1838,Hopkinsville,PGHL,KY,KentuckyMesonet,Christian,729,36.95,-87.52
1839,Lexington,LXGN,KY,KentuckyMesonet,Fayette,1044,37.97,-84.53
1840,Frankfort,LSML,KY,KentuckyMesonet,Franklin,748,38.12,-84.88
1841,Hickman,HCKM,KY,KentuckyMesonet,Fulton,345,36.57,-89.16
